"The Alley
"","Fenrir
Cat
(60 Health)(4 Mvmt)
4 Bonus Turns
Uses the Tall Grass on the map to gain +50% Dodge Chance. Throws out bear traps that turn invisible to the player on his Bonus Turns. Whenever a unit hits him while adjacent to him, he will push them 2 Tiles back. Has a 5 Damage Ranged Attack, 5 Tile range, cannot target within 2 Tiles of themselves.  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fenrir
The Hunter","","Bear Trap
Throw out a bear trap that turns invisible to the player, 5 Tile range.
Throws these on Bonus Turns only.","Hunter Basic Attack
5 Damage Ranged Attack, 5 Tile range, cannot target within 2 Tiles of yourself.  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Maisie
Cat
(98 Health)(5 Mvmt)
1 Bonus Turn
Battles alongside 5 Kittens.

Any Kittens left after she dies will Run off board.
If all the Kittens die, Maisie will Run off Board.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maisie
The Tank","","Strength Lick Buff
Apply +1 Str to an adjacent unit and Heal 1HP.","Body Guard Passive
The next time an ally is targeted by an enemy, switch places with that ally. 
Will do this whenever her Kittens are targeted.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Dack
Cat
(? Health)(? Mvmt)
May have a focus on stealing your Coins and then leaving battle before you can defeat him and take them back.?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dack
The Thief","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Marshmallow?
Cat
(? Health)(? Mvmt)
?
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marshmallow?
The Cleric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Pebbles
Cat
(50 Health)(2 Armor?)(4 Mvmt)
1 Bonus Turn
Their Melee Attack deals 2 Damage and knocks units backwards.
Can throw rocks.
(Is located in the tutorial, may or may not also be in The Alley.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pebbles
The Collarless
(Tutorial Boss)","","Push
Deals 2 Melee Damage and Knockback 1?. 2 Tile Range, can go perpendicular or diagonal.","Throw Rock?
?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bumble
(? Health)(? Mvmt)
Has an AOE ability that devours units whole.?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bumble
(Idk could be boss or mini-boss, and may be in Boneyard?)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
